,data,ministro,discurso_posse,link_bio,link_discurso
87,03/08/1866,Martim Francisco Ribeiro de Andrada,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/371,NA
88,12/05/1865,José Antonio Saraiva,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/372,NA
89,09/03/1864,João Pedro Dias Vieira,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/373,NA
90,15/01/1864,Francisco Xavier Paes Barreto,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/374,NA
91,30/05/1862,Miguel Calmon du Pin e Almeida,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/375,NA
92,24/05/1862,Carlos Carneiro de Campos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/364,NA
93,10/07/1861,Benevenuto Augusto de Magalhães Taques,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/376,NA
94,21/04/1861,Antonio Coelho de Sá e Albuquerque,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/369,NA
95,02/03/1861,José Maria da Silva Paranhos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/367,NA
96,10/08/1859,João Lins Vieira Cansansão de Sinimbú,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/360,NA
97,12/12/1858,José Maria da Silva Paranhos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/367,NA
98,04/05/1857,Caetano Maria Lopes Gama,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/377,NA
99,14/06/1855,José Maria da Silva Paranhos,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/367,NA
100,06/09/1853,Antonio Paulino Limpo de Abreu,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/378,NA
101,08/10/1849,Paulino José Soares de Souza,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/379,NA
102,29/09/1848,Pedro de Araújo Lima,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/380,NA
103,31/05/1848,Bernardo de Souza Franco,NA,http://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/438,NA
104,08/03/1848,Antonio Paulino Limpo de Abreu,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/378,NA
105,29/01/1848,José Antonio Pimenta Bueno,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/366,NA
106,22/05/1847,Saturnino de Souza e Oliveira Coutinho,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/381,NA
107,02/05/1846,Bento da Silva Lisboa,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/382,NA
108,26/05/1845,Antonio Paulino Limpo de Abreu,NA,https://www.funag.gov.br/chdd/index.php/ministros-de-estado-das-relacoes-exteriores/378,NA
